@relation 'hour-weka.filters.unsupervised.attribute.Remove-R1-10,12-16'

@attribute temp numeric
@attribute cnt numeric

@data
0.24,16
0.22,40
0.22,32
0.24,13
0.24,1
0.24,1
0.22,2
0.2,3
0.24,8
0.32,14
0.38,36
0.36,56
0.42,84
0.46,94
0.46,106
0.44,110
0.42,93
0.44,67
0.42,35
0.42,37
0.4,36
0.4,34
0.4,28
0.46,39
0.46,17
0.44,17
0.42,9
0.46,6
0.46,3
0.42,2
0.4,1
0.4,8
0.38,20
0.36,53
0.36,70
0.36,93
0.36,75
0.36,59
0.34,74
0.34,76
0.34,65
0.36,53
0.32,30
0.3,22
0.26,31
0.24,9
0.22,8
0.22,5
0.2,2
0.16,1
0.16,3
0.14,30
0.14,64
0.14,154
0.16,88
0.18,44
0.2,51
0.22,61
0.24,61
0.26,77
0.26,72
0.26,76
0.24,157
0.24,157
0.2,110
0.2,52
0.18,52
0.14,20
0.18,12
0.16,5
0.16,2
0.14,1
0.14,2
0.12,4
0.12,36
0.12,94
0.14,179
0.16,100
0.16,42
0.22,57
0.22,78
0.24,97
0.26,63
0.28,65
0.3,83
0.28,212
0.26,182
0.24,112
0.24,54
0.22,48
0.22,35
0.2,11
0.2,6
0.16,6
0.16,2
0.24,2
0.22,3
0.2,33
0.18,88
0.2,195
0.22,115
0.22,57
0.26,46
0.26,79
0.28,71
0.3,62
0.3,62
0.3,89
0.24,190
0.24,169
0.24,132
0.22,89
0.2,43
0.18,42
0.2,19
0.18,11
0.16,4
0.16,2
0.16,1
0.14,4
0.14,36
0.16,95
0.16,219
0.18,122
0.2,45
0.22,59
0.26,84
0.26,67
0.28,70
0.28,62
0.26,86
0.22,172
0.22,163
0.22,112
0.2,69
0.22,48
0.22,52
0.2,23
0.2,17
0.2,7
0.2,1
0.2,1
0.22,5
0.2,34
0.2,84
0.2,210
0.2,134
0.22,63
0.2,67
0.2,59
0.2,73
0.2,50
0.2,72
0.2,87
0.2,187
0.2,123
0.16,95
0.18,51
0.18,39
0.18,36
0.18,15
0.18,25
0.18,16
0.18,16
0.18,7
0.18,1
0.16,5
0.16,2
0.16,9
0.16,15
0.16,20
0.18,61
0.2,62
0.2,98
0.2,102
0.2,95
0.2,74
0.18,76
0.16,69
0.14,55
0.14,30
0.12,28
0.12,37
0.12,34
0.1,22
0.1,25
0.1,12
0.1,11
0.1,4
0.08,1
0.08,1
0.1,1
0.08,6
0.1,10
0.12,19
0.14,49
0.16,49
0.18,83
0.2,75
0.22,72
0.22,82
0.2,92
0.18,62
0.16,48
0.16,41
0.14,38
0.14,20
0.14,15
0.12,6
0.12,5
0.12,1
0.12,3
0.12,1
0.1,3
0.1,3
0.12,31
0.12,77
0.12,188
0.14,94
0.14,31
0.16,30
0.2,52
0.2,54
0.2,47
0.2,45
0.2,74
0.2,178
0.2,155
0.16,95
0.16,74
